split,scope,scope_value,model,n,mae,rmse,bias,spearman
confirmation,position,WR,RIDGE_FULL,683,4.700271916551734,5.569634858467372,-0.022875319698963597,0.37826064283272653
confirmation,position,TE,RIDGE_FULL,380,4.6418177648402414,5.445280761172346,-0.2898298914840212,0.39510821934851065
confirmation,season,2022,RIDGE_FULL,475,4.227864989002319,5.127342055591685,0.1925796936916214,0.36029537476301027
confirmation,season,2023,RIDGE_FULL,446,4.522580889248134,5.399797212215193,0.07269559608672015,0.37668340076482326
confirmation,season,2024,RIDGE_FULL,421,4.72201775792267,5.620710220997518,-0.6015066421480806,0.4465756163734808
confirmation,season,2025,RIDGE_FULL,431,4.475310487824764,5.331633580284436,0.1867417633702154,0.3266572917273956
confirmation,pooled,ALL,MULTINOMIAL_HURDLE,1773,4.61992650247281,5.44466816494499,0.08572847230475879,0.35158911897638373
confirmation,position,QB,MULTINOMIAL_HURDLE,258,3.5922065122687914,4.661208301420789,-0.04053509775005822,0.28391901326246194
confirmation,position,RB,MULTINOMIAL_HURDLE,452,4.760339296431523,5.50785424812252,0.3468946629393746,0.4010180124244849
confirmation,position,WR,MULTINOMIAL_HURDLE,683,4.87109854004686,5.66751888862528,0.13479237184650586,0.3553018476939189
